Signal,SCR,SCL
5.9045,0.0,5.761594887788526
5.908,0.0,5.762941385692963
5.911,0.0,5.7642878835974
5.9145,0.0,5.765634381501838
5.9175,0.0,5.766980879406275
5.921,0.0,5.768327377310712
5.924,0.0,5.769673875215149
5.926,0.0,5.771020373119587
5.93,0.0,5.7723668710240235
5.9325,0.0,5.773713368928461
5.9355,0.0,5.7750598668328985
5.9395,0.0,5.776406364737336
5.9425,0.0,5.777752862641773
5.9465,0.0,5.77909936054621
5.948,0.0,5.780445858450648
5.9505,0.0,5.781792356355084
5.9525,0.0,5.783138854259522
5.9545,0.0,5.784485352163959
5.9565,0.0,5.785831850068397
5.959,0.0,5.787178347972834
5.961,0.0,5.788524845877271
5.9625,0.0,5.789871343781709
5.964,0.0,5.791217841686145
5.965,0.0,5.792564339590583
5.968,0.0,5.79391083749502
5.969,0.0,5.795257335399457
5.9705,0.0,5.7966038333038945
5.972,0.0,5.797950331208332
5.973,0.0,5.79929682911277
5.9745,0.0,5.800643327017206
5.9755,0.0,5.801989824921644
5.976,0.0,5.803336322826081
5.976,0.0,5.804682820730518
5.9755,0.0,5.806029318634955
5.976,0.0,5.807375816539393
5.976,0.0,5.8087223144438305
5.976,0.0,5.810068812348267
5.976,0.0,5.811415310252705
5.9745,0.0,5.812761808157142
5.973,0.0,5.814108306061579
5.9725,0.0,5.815454803966016
